ID,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,CommunicationSkill,Behaviour,Experience,LvlGrownInOrg,ContributionIndex,TechnicalExpertise,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FormalWarnings,ProjectsContributed,Attrition,YearsAtCompany
1,44,Travel_Rarely,1376,Human Resources,1,Male,91,2,3,Human Resources,1,Married,10482,2326,9,Y,No,14,3,4,1,46116,4,9632,9,4,80,1,24,1,2,Medical,1,1098,2,3,6,3,6,0,15,1,20
2,25,Non-Travel,675,Research & Development,5,Male,85,4,2,Healthcare Representative,1,Divorced,4000,18384,1,Y,No,12,3,5,1,10635,6,4725,7,4,80,2,6,2,2,Life Sciences,1,369,2,3,3,1,5,0,7,0,6
3,57,Travel_Rarely,210,Sales,29,Male,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,2,1,36537,2,1470,0,3,80,1,32,3,3,Marketing,1,568,1,2,0,0,0,0,3,0,1
4,47,Travel_Rarely,1180,Research & Development,25,Male,84,3,3,Healthcare Representative,3,Single,8633,13084,2,Y,No,23,4,1,1,814,3,8260,11,2,80,0,25,3,3,Medical,1,1993,1,3,14,12,11,0,14,0,17
5,22,Travel_Rarely,391,Research & Development,7,Male,75,3,1,Research Scientist,2,Single,2472,26092,1,Y,Yes,23,4,3,1,46742,2,2737,0,1,80,0,1,2,1,Life Sciences,1,1878,4,3,0,0,0,0,5,1,1
6,31,Travel_Rarely,408,Research & Development,9,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,3,1,14294,3,2856,1,4,80,0,3,5,4,Life Sciences,1,493,3,3,2,2,2,0,9,0,2
7,39,Travel_Rarely,1431,Research & Development,1,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,Y,No,14,3,4,1,45817,4,10017,2,3,80,3,7,1,4,Medical,1,332,3,3,2,1,2,0,14,0,3
8,32,Travel_Rarely,1062,Research & Development,2,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,1,19142,6,7434,0,3,80,1,8,4,3,Medical,1,471,3,3,0,0,7,0,14,0,8
9,36,Travel_Frequently,688,Research & Development,4,Female,97,3,2,Manufacturing Director,2,Divorced,5131,9192,7,Y,No,13,3,2,1,1998,6,4816,4,2,80,3,18,3,2,Life Sciences,1,2025,4,3,2,0,2,0,7,0,4
10,34,Travel_Frequently,702,Research & Development,16,Female,100,2,1,Research Scientist,4,Single,2553,8306,1,Y,No,16,3,5,1,17553,1,4914,3,3,80,0,6,3,4,Life Sciences,1,838,3,3,2,1,3,0,7,0,5
